"","country","gdppc99","lngdp99","ISO_qual","ISO_envt","wtr_pltn","lnpoison","lnintest","UnofEcon","lab_inf","roa","markcom","cor_aart","cor_icrg","xconst45_98","P_execon","gov_eff","EffectLg","Competit","autoc45_98","pright_av","legor_fr","legor_so","legor_ge","legor_sc","legor_en","civil_fh","prop97","prop_hf9","response","sanita_who","expense_heal","cost_priv","steps","procedures","time_99","cost_99","cost_pct"
"44","Malawi",190,5.24702405929565,0.0147399995476007,NA,0.259999990463257,NA,NA,NA,51.7000007629395,NA,NA,0.753726124763489,0.600000023841858,1.57142996788025,1.20000004768372,-0.624839901924133,1.08000004291534,1,7.68570995330811,0.219814196228981,0,0,0,0,1,0.666666686534882,0.5,3,4.42313385009766,69.5,9.44999980926514,0,12,12,51,35.8300018310547,0.189999997615814
"45","Malaysia",3400,8.13153076171875,0.0787834003567696,0.00396919995546341,0.125,3.9906919002533,1.98618805408478,39,NA,0.0661036968231201,4.59999990463257,0.485151410102844,0.400000005960464,5.38094997406006,6.77142906188965,0.714095771312714,2,1.73076999187469,0.761905014514923,0.554179489612579,0,0,0,0,1,0.333333313465118,0.75,4,6.32000017166138,92.3999862670898,1.64999997615814,77.0800018310547,7,7,42,899.299987792969,0.259999990463257
"46","Mali",240,5.48063898086548,0.00457999994978309,0,NA,NA,NA,NA,36,NA,NA,0.84498131275177,0.600000023841858,2.15789008140564,2,-0.0522807985544205,0.51724100112915,0.758620977401733,5.71052980422974,0.21362230181694,1,0,0,0,0,0.666666686534882,0.5,3,3.7401111125946,NA,0.5,NA,14,16,59,NA,NA
"47","Mexico",4400,8.38935947418213,0.0103658000007272,0.00041340000461787,0.191200003027916,2.62844300270081,5.78669595718384,37.7000007629395,NA,0.23440970480442,4.40000009536743,0.780518174171448,0.800000011920929,3.24074006080627,3,0.178865596652031,2,2,4.59258985519409,0.535603702068329,1,0,0,0,0,0.5,0.5,3,5.66083383560181,63.0999984741211,2.90000009536743,1855.68005371094,15,15,67,2492.03002929688,0.569999992847443
"48","Mongolia",350,5.85793304443359,0.0258789993822575,NA,0.180000007152557,NA,NA,16.8999996185303,11.5,NA,NA,0.73772919178009,0.400000005960464,3.33332991600037,3.40000009536743,0.0176893994212151,1,1,6.16666984558105,0.250773906707764,0,1,0,0,0,0.666666686534882,0.5,3,5.78999996185303,NA,12.1999998092651,0,5,5,22,11.5900001525879,0.0299999993294477
"49","Morocco",1200,7.09007692337036,0.00632000016048551,0.000653999974019825,0.200000002980232,NA,NA,39,NA,NA,NA,0.650012493133545,0.600000023841858,1.93023002147675,1.77142894268036,0.267083406448364,0.545454978942871,0.545454978942871,7.5348801612854,0.399380803108215,1,0,0,0,0,0.5,0.75,3,4.58371877670288,63.2000007629395,3.20000004768372,81.5999984741211,13,13,57,255.089996337891,0.209999993443489
"50","Mozambique",230,5.43807888031006,0,0,0.270999997854233,NA,6.21246194839478,68.8000030517578,72.5,NA,NA,0.864142775535583,0.400000005960464,2.75,2.57894706726074,-0.330730795860291,0.857142984867096,0.857142984867096,5.875,0.202476799488068,1,0,0,0,0,0.5,0.25,4,3.7282509803772,21,1.64999997615814,162.759994506836,19,19,149,256.350006103516,1.11000001430511
"51","Netherlands",24320,10.0990495681763,0.677260220050812,0.021849200129509,0.181600004434586,1.54516196250916,-0.21954970061779,13.0900001525879,NA,0.306333214044571,5.69999980926514,0.0332849994301796,0,7,7,2.03024101257324,3,2,0,1,1,0,0,0,0,1,1,5,6.92190885543823,99.9000015258789,8.39999961853027,4266.22998046875,6,8,31,4478.39990234375,0.180000007152557
"52","New Zealand",13780,9.53097343444824,0.686253726482391,0.00877430010586977,0.222599998116493,1.7538880109787,1.18628704547882,9.63000011444092,NA,0.108436398208141,5.09999990463257,0.0175410006195307,0.200000002980232,7,7,1.57128703594208,3,2,0,1,0,0,0,0,1,1,1,5,6.6539831161499,NA,6.90000009536743,0,3,3,3,72.7099990844727,0.00999999977648258
"53","Nigeria",310,5.73657178878784,0.000169499995536171,0,0.1824000030756,NA,NA,56,48.9000015258789,NA,NA,1,0.800000011920929,2.78378009796143,2.94117593765259,-1.32076704502106,0.758620977401733,0.724138021469116,4.81081008911133,0.2569659948349,0,0,0,0,1,0.666666686534882,0.5,3,4.60064077377319,62.1500015258789,1.16799998283386,0,9,9,36,796.710021972656,2.5699999332428
